Date,24 hr New Snow,Season Snowfall Total,Base Depth
28-Mar-17,0.33 m,8.37 m,3.38 m
31-Mar-17,0.18 m,8.55 m,3.35 m
5-Jan-16,0.03 m,0.03 m,1.30 m
6-Jan-16,0.05 m,0.08 m,1.35 m
7-Jan-16,0.13 m,0.21 m,1.42 m
8-Jan-16,0.15 m,0.36 m,1.50 m
9-Jan-16,0.03 m,0.39 m,1.50 m
10-Jan-16,0.03 m,0.42 m,1.50 m
14-Jan-16,0.05 m,0.47 m,1.42 m
15-Jan-16,0.28 m,0.75 m,1.60 m
16-Jan-16,0.38 m,1.13 m,1.78 m
17-Jan-16,0.28 m,1.41 m,1.78 m
19-Jan-16,0.33 m,1.74 m,1.96 m
20-Jan-16,0.08 m,1.82 m,1.98 m
21-Jan-16,0.18 m,2 m,2.03 m
24-Jan-16,0.20 m,2.20 m,1.85 m
25-Jan-16,0.41 m,2.61 m,1.85 m
26-Jan-16,0.03 m,2.64 m,2.29 m
30-Jan-16,0.15 m,2.79 m,2.11 m
31-Jan-16,0.30 m,3.09 m,2.11 m
1-Feb-16,0.05 m,3.14 m,2.11 m
2-Feb-16,0.13 m,3.27 m,2.29 m
3-Feb-16,0.05 m,3.32 m,2.26 m
4-Feb-16,0.03 m,3.35 m,2.24 m
5-Feb-16,0.33 m,3.68 m,2.49 m
15-Feb-16,0.18 m,3.86 m,2.06 m
16-Feb-16,0.03 m,3.89 m,2.16 m
18-Feb-16,0.08 m,3.97 m,2.21 m
19-Feb-16,0.10 m,4.07 m,2.31 m
23-Feb-16,0.15 m,4.22 m,2.31 m
7-Mar-16,0.25 m,4.47 m,2.08 m
9-Mar-16,0.08 m,4.55 m,2.31 m
10-Mar-16,0.10 m,4.65 m,2.36 m
13-Mar-16,0.03 m,4.68 m,2.34 m
14-Mar-16,0.08 m,4.76 m,2.36 m
15-Mar-16,0.18 m,4.94 m,2.54 m
16-Mar-16,0.18 m,5.12 m,2.69 m
22-Mar-16,0.03 m,5.15 m,2.39 m
23-Mar-16,0.41 m,5.56 m,2.72 m
24-Mar-16,0.05 m,5.61 m,2.74 m
26-Mar-16,0.08 m,5.69 m,2.69 m
29-Mar-16,0.43 m,6.12 m,2.90 m
30-Mar-16,0.08 m,6.20 m,2.95 m
31-Mar-16,0.05 m,6.25 m,2.92 m
1-Apr-16,0.03 m,6.28 m,2.90 m
14-Apr-16,0.05 m,6.33 m,2.21 m
15-Apr-16,0.18 m,6.51 m,2.41 m
23-Apr-16,0.05 m,6.56 m,2.24 m
24-Apr-16,0.28 m,6.84 m,2.24 m
25-Apr-16,0.05 m,6.89 m,2.24 m
26-Apr-16,0.08 m,6.97 m,2.51 m
27-Apr-16,0.30 m,7.27 m,2.59 m
28-Apr-16,0.15 m,7.42 m,2.69 m
30-Apr-16,0.03 m,7.45 m,2.59 m
9-May-16,0.08 m,7.53 m,2.57 m
27-Nov-16,0.13 m,7.66 m,0.56 m
28-Nov-16,0.33 m,7.99 m,0.56 m
29-Nov-16,0.58 m,8.57 m,0.56 m
2-Dec-16,0.03 m,8.60 m,0.99 m
5-Dec-16,0.05 m,8.65 m,0.84 m
6-Dec-16,0.03 m,8.68 m,0.84 m
7-Dec-16,0.08 m,8.76 m,0.81 m
8-Dec-16,0.03 m,8.79 m,0.84 m
9-Dec-16,0.13 m,8.92 m,0.89 m
10-Dec-16,0.05 m,8.97 m,0.94 m
11-Dec-16,0.30 m,9.27 m,0.94 m
12-Dec-16,0.03 m,9.30 m,0.94 m
15-Dec-16,0.13 m,9.43 m,1.19 m
16-Dec-16,0.25 m,9.68 m,1.37 m
17-Dec-16,0.43 m,10.11 m,1.73 m
21-Dec-16,0.03 m,10.14 m,1.47 m
24-Dec-16,0.05 m,10.19 m,1.42 m
25-Dec-16,0.41 m,10.60 m,1.42 m
26-Dec-16,0.18 m,10.78 m,1.75 m
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
