Date,24 hr New Snow,Season Snowfall Total,Base Depth
2-Jan-17,0.13 m,0.13 m,1.52 m
3-Jan-17,0. 46 m,0.59 m,1.88 m
4-Jan-17,0.05 m,0.64 m,1.88 m
5-Jan-17,0.28 m,0.92 m,1.85 m
8-Jan-17,0.08 m,1 m,1.85 m
9-Jan-17,0.13 m,1.13 m,1.85 m
10-Jan-17,0.28 m,1.41 m,2.08 m
11-Jan-17,0.18 m,1.59 m,2.08 m
12-Jan-17,0.15 m,1.74 m,2.29 m
13-Jan-17,0.10 m,1.84 m,2.34 m
14-Jan-17,0.03 m ,1.87 m,2.26 m
20-Jan-17,0.13 m ,2 m,2.16 m
21-Jan-17,0.43 m,2.43 m,2.39 m
22-Jan-17,0.43 m,2.86 m,2.39 m
23-Jan-17,0.23 m,3.09 m,2.67 m
24-Jan-17,0.56 m,3.65 m,2.95 m
25-Jan-17,0.10 m,3.75 m,3.07 m
26-Jan-17,0.18 m,3.93 m,3.07 m
27-Jan-17,0.05 m,3.98 m,3.05 m
3-Feb-17,0.05 m,4.03 m,2.57 m
4-Feb-17,0.08 m,4.11 m,2.59 m
5-Feb-17,0.03 m,4.14 m,2.59 m
7-Feb-17,0.10 m,4.24 m,2.59 m
8-Feb-17,0.10 m,4.34 m,2.62 m
11-Feb-17,0.41 m,4.75 m,2.79 m
12-Feb-17,0.05 m,4.80 m,2.84 m
18-Feb-17,0.05 m,4.85 m,2.67 m
19-Feb-17,0.20 m,5.05 m,2.72 m
20-Feb-17,0.23 m,5.28 m,2.97 m
22-Feb-17,0.30 m,5.58 m,3.28 m
23-Feb-17,0.33 m,5.91 m,3.40 m
24-Feb-17,0.46 m,6.37 m,3.61 m
25-Feb-17,0.13 m,6.50 m,3.66 m
26-Feb-17,0.03 m,6.53 m,3.48 m
27-Feb-17,0.10 m,6.63 m,3.48 m
28-Feb-17,0.43 m,7.06 m,3.73 m
1-Mar-17,0.13 m,7.19 m,3.63 m
6-Mar-17,0.33 m,7.52 m,3.63 m
7-Mar-17,0.03 m,7.55 m,3.56 m
8-Mar-17,0.03 m,7.58 m,3.51 m
22-Mar-17,0.08 m,7.66 m,2.95 m
23-Mar-17,0.08 m,7.74 m,3.00 m
24-Mar-17,0.15 m,7.89 m,3.15 m
26-Mar-17,0.15 m,8.04 m,3.10 m
