Date,24 hr New Snow,Season Snowfall Total,Base Depth
1/1/2017,3 cm,3 cm,91 cm
1/2/2017,8 cm,11 cm,94 cm
1/3/2017,3 cm,14 cm,91 cm
1/4/2017,3 cm,17 cm,94 cm
1/5/2017,10 cm,27 cm,99 cm
1/6/2017,13 cm,40 cm,109 cm
1/8/2017,3 cm,43 cm,102 cm
1/9/2017,8 cm,51 cm,104 cm
1/10/2017,33 cm,84 cm,127 cm
1/11/2017,8 cm,92 cm,122 cm
1/12/2017,10 cm,102 cm,122 cm
1/13/2017,3 cm,105 cm,122 cm
1/14/2017,15 cm,120 cm,130 cm
1/15/2017,13 cm,133 cm,137 cm
1/16/2017,3 cm,136 cm,135 cm
1/20/2017,10 cm,146 cm,135 cm
1/21/2017,3 cm,149 cm,135 cm
1/22/2017,46 cm,195 cm,168 cm
1/23/2017,10 cm,205 cm,165 cm
1/24/2017,20 cm,225 cm,165 cm
1/25/2017,20 cm,245 cm,178 cm
1/26/2017,5 cm,250 cm,170 cm
2/7/2017,3 cm,253 cm,140 cm
2/12/2017,10 cm,263 cm,142 cm
2/13/2017,8 cm,271 cm,147 cm
2/14/2017,5 cm,276 cm,147 cm
2/18/2017,5 cm,281 cm,145 cm
2/20/2017,8 cm,289 cm,147 cm
2/23/2017,5 cm,294 cm,147 cm
2/24/2017,20 cm,314 cm,160 cm
2/25/2017,10 cm,324 cm,163 cm
2/26/2017,3 cm,327 cm,160 cm
2/27/2017,3 cm,330 cm,160 cm
2/28/2017,36 cm,366 cm,173 cm
3/1/2017,20 cm,386 cm,196 cm
3/6/2017,5 cm,391 cm,165 cm
3/7/2017,8 cm,399 cm,175 cm
3/24/2017,48 cm,447 cm,196 cm
3/25/2017,3 cm,450 cm,190 cm
3/26/2017,30 cm,480 cm,211 cm
3/28/2017,18 cm,498 cm,213 cm
3/29/2017,15 cm,513 cm,218 cm
3/31/2017,5 cm,518 cm,211 cm
4/1/2017,13 cm,531 cm,216 cm
1/5/2016,3 cm,3 cm,119 cm
1/6/2016,3 cm,6 cm,124 cm
1/7/2016,8 cm,14 cm,127 cm
1/9/2016,10 cm,24 cm,132 cm
1/15/2016,5 cm,29 cm,122 cm
1/16/2016,36 cm,65 cm,150 cm
1/17/2016,13 cm,78 cm,147 cm
1/18/2016,3 cm,81 cm,147 cm
1/19/2016,8 cm,89 cm,152 cm
1/20/2016,10 cm,99 cm,152 cm
1/21/2016,10 cm,109 cm,160 cm
1/25/2016,33 cm,142 cm,173 cm
1/26/2016,3 cm,145 cm,168 cm
1/31/2016,10 cm,155 cm,155 cm
2/1/2016,48 cm,203 cm,183 cm
2/2/2016,18 cm,221 cm,190 cm
2/3/2016,3 cm,224 cm,185 cm
2/5/2016,3 cm,227 cm,178 cm
2/23/2016,13 cm,240 cm,155 cm
2/24/2016,3 cm,243 cm,155 cm
3/7/2016,10 cm,253 cm,152 cm
3/13/2016,5 cm,258 cm,147 cm
3/15/2016,8 cm,266 cm,152 cm
3/16/2016,5 cm,271 cm,152 cm
3/23/2016,25 cm,296 cm,168 cm
3/24/2016,30 cm,326 cm,188 cm
3/26/2016,8 cm,334 cm,180 cm
3/27/2016,5 cm,339 cm,183 cm
3/29/2016,3 cm,342 cm,175 cm
3/30/2016,15 cm,357 cm,185 cm
4/1/2016,3 cm,360 cm,183 cm
11/27/2016,20 cm,380 cm,36 cm
11/28/2016,25 cm,405 cm,58 cm
11/29/2016,23 cm,428 cm,71 cm
12/3/2016,5 cm,433 cm,53 cm
12/7/2016,8 cm,441 cm,51 cm
12/9/2016,3 cm,444 cm,48 cm
12/11/2016,8 cm,452 cm,51 cm
12/12/2016,3 cm,455 cm,53 cm
12/16/2016,18 cm,473 cm,61 cm
12/17/2016,36 cm,509 cm,89 cm
12/18/2016,25 cm,534 cm,104 cm
12/22/2016,5 cm,539 cm,86 cm
12/23/2016,13 cm,552 cm,97 cm
12/25/2016,28 cm,580 cm,109 cm
12/26/2016,3 cm,583 cm,104 cm
