Date,24 hr New Snow,Season Snowfall Total,Base Depth
1-Jan-17,8 cm,8 cm,0 m
6-Jan-17,1 cm,9 cm,0 m
7-Jan-17,4 cm,13 cm,0 m
9-Jan-17,15 cm,28 cm,0 m
10-Jan-17,3 cm,31 cm,0 m
17-Jan-17,8 cm,39 cm,0 m
18-Jan-17,39 cm,78 cm,0 m
19-Jan-17,36 cm,114 cm,0 m
20-Jan-17,14 cm,128 cm,0 m
22-Jan-17,5 cm,133 cm,0 m
23-Jan-17,2 cm,135 cm,0 m
30-Jan-17,5 cm,140 cm,0 m
4-Feb-17,28 cm,168 cm,0 m
5-Feb-17,35 cm,203 cm,0 m
6-Feb-17,3 cm,206 cm,0 m
7-Feb-17,2 cm,208 cm,0 m
9-Feb-17,32 cm,240 cm,0 m
10-Feb-17,17 cm,257 cm,0 m
11-Feb-17,4 cm,261 cm,0 m
15-Feb-17,16 cm,277 cm,0 m
16-Feb-17,1 cm,278 cm,0 m
17-Feb-17,3 cm,281 cm,0 m
19-Feb-17,4 cm,285 cm,0 m
20-Feb-17,12 cm,297 cm,0 m
24-Feb-17,1 cm,298 cm,0 m
26-Feb-17,1 cm,299 cm,0 m
1-Mar-17,6 cm,305 cm,0 m
2-Mar-17,7 cm,312 cm,0 m
3-Mar-17,28 cm,340 cm,0 m
4-Mar-17,21 cm,361 cm,0 m
5-Mar-17,4 cm,365 cm,0 m
6-Mar-17,18 cm,383 cm,0 m
7-Mar-17,11 cm,394 cm,0 m
8-Mar-17,11 cm,405 cm,0 m
9-Mar-17,3 cm,408 cm,0 m
10-Mar-17,21 cm,429 cm,0 m
11-Mar-17,1 cm,430 cm,0 m
12-Mar-17,15 cm,445 cm,0 m
13-Mar-17,9 cm,454 cm,0 m
14-Mar-17,3 cm,457 cm,0 m
15-Mar-17,2 cm,459 cm,0 m
16-Mar-17,10 cm,469 cm,0 m
17-Mar-17,10 cm,479 cm,0 m
18-Mar-17,25 cm,504 cm,0 m
19-Mar-17,4 cm,508 cm,0 m
22-Mar-17,5 cm,513 cm,0 m
23-Mar-17,21 cm,534 cm,0 m
24-Mar-17,13 cm,547 cm,0 m
25-Mar-17,11 cm,558 cm,0 m
26-Mar-17,4 cm,562 cm,0 m
27-Mar-17,7 cm,569 cm,0 m
28-Mar-17,12 cm,581 cm,0 m
29-Mar-17,15 cm,596 cm,0 m
30-Mar-17,16 cm,612 cm,0 m
1-Apr-17,12 cm,624 cm,0 m
4-Jan-16,1 cm,1 cm,1.60 m
5-Jan-16,6 cm,7 cm,1.67 m
6-Jan-16,6 cm,13 cm,1.72 m
13-Jan-16,16 cm,29 cm,1.85 m
14-Jan-16,1 cm,30 cm,1.85 m
16-Jan-16,12 cm,42 cm,1.81 m
17-Jan-16,13 cm,55 cm,1.89 m
18-Jan-16,11 cm,66 cm,2.05 m
19-Jan-16,20 cm,86 cm,2.20 m
21-Jan-16,24 cm,110 cm,2.08 m
22-Jan-16,8 cm,118 cm,2.20 m
26-Jan-16,5 cm,123 cm,2.01 m
28-Jan-16,8 cm,131 cm,2.02 m
29-Jan-16,1 cm,132 cm,1.98 m
30-Jan-16,11 cm,143 cm,2.06 m
31-Jan-16,14 cm,157 cm,2.09 m
3-Feb-16,2 cm,159 cm,2.05 m
4-Feb-16,10 cm,169 cm,2.21 m
5-Feb-16,20 cm,189 cm,2.08 m
6-Feb-16,42 cm,231 cm,2.48 m
7-Feb-16,1 cm,232 cm,2.52 m
10-Feb-16,1 cm,233 cm,2.32 m
12-Feb-16,13 cm,246 cm,2.33 m
13-Feb-16,10 cm,256 cm,2.42 m
14-Feb-16,11 cm,267 cm,2.47 m
15-Feb-16,4 cm,271 cm,2.46 m
16-Feb-16,19 cm,290 cm,2.62 m
17-Feb-16,8 cm,298 cm,2.60 m
18-Feb-16,16 cm,314 cm,2.66 m
19-Feb-16,3 cm,317 cm,2.66 m
20-Feb-16,8 cm,325 cm,2.65 m
21-Feb-16,4 cm,329 cm,2.65 m
