Date,24 hr New Snow,Season Snowfall Total,Base Depth
22-Feb-16,2 cm,331 cm,2.62 m
27-Feb-16,1 cm,332 cm,2.49 m
28-Feb-16,17 cm,349 cm,2.48 m
29-Feb-16,14 cm,363 cm,2.68 m
1-Mar-16,24 cm,387 cm,2.66 m
2-Mar-16,10 cm,397 cm,2.88 m
3-Mar-16,15 cm,412 cm,2.85 m
4-Mar-16,23 cm,435 cm,2.90 m
5-Mar-16,35 cm,470 cm,3.32 m
6-Mar-16,18 cm,488 cm,3.22 m
7-Mar-16,18 cm,506 cm,3.28 m
8-Mar-16,3 cm,509 cm,3.26 m
9-Mar-16,1 cm,510 cm,3.19 m
10-Mar-16,53 cm,563 cm,3.39 m
11-Mar-16,2 cm,565 cm,3.47 m
12-Mar-16,34 cm,599 cm,3.62 m
13-Mar-16,19 cm,618 cm,3.74 m
14-Mar-16,15 cm,633 cm,3.75 m
15-Mar-16,7 cm,640 cm,3.70 m
21-Mar-16,12 cm,652 cm,3.38 m
22-Mar-16,3 cm,655 cm,3.30 m
23-Mar-16,3 cm,658 cm,3.26 m
24-Mar-16,10 cm,668 cm,3.36 m
25-Mar-16,1 cm,669 cm,3.32 m
27-Mar-16,6 cm,675 cm,3.31 m
28-Mar-16,3 cm,678 cm,3.28 m
4-Apr-16,3 cm,681 cm,2.95 m
5-Apr-16,3 cm,684 cm,2.93 m
6-Apr-16,2 cm,686 cm,2.92 m
12-Apr-16,4 cm,690 cm,2.67 m
13-Apr-16,12 cm,702 cm,2.81 m
24-Apr-16,2 cm,704 cm,1.91 m
25-Apr-16,2 cm,706 cm,1.92 m
19-May-16,2 cm,708 cm,1.26 m
28-May-16,13 cm,721 cm,0.94 m
29-May-16,12 cm,733 cm,1.08 m
18-Oct-16,6 cm,739 cm,0 m
14-Nov-16,2 cm,741 cm,0 m
15-Nov-16,6 cm,747 cm,0 m
20-Nov-16,15 cm,762 cm,0 m
21-Nov-16,39 cm,801 cm,1 m
22-Nov-16,37 cm,838 cm,1.01 m
23-Nov-16,36 cm,874 cm,0 m
24-Nov-16,45 cm,919 cm,0 m
25-Nov-16,64 cm,983 cm,1.55 m
26-Nov-16,22 cm,1005 cm,1.80 m
27-Nov-16,31 cm,1036 cm,0 m
28-Nov-16,6 cm,1042 cm,0 m
30-Nov-16,4 cm,1046 cm,0 m
1-Dec-16,1 cm,1047 cm,0 m
2-Dec-16,4 cm,1051 cm,0 m
3-Dec-16,2 cm,1053 cm,0 m
4-Dec-16,3 cm,1056 cm,0 m
5-Dec-16,2 cm,1058 cm,0 m
9-Dec-16,1 cm,1059 cm,0 m
10-Dec-16,13 cm,1072 cm,0 m
11-Dec-16,6 cm,1078 cm,0 m
12-Dec-16,14 cm,1092 cm,0 m
19-Dec-16,31 cm,1123 cm,0 m
20-Dec-16,6 cm,1129 cm,0 m
21-Dec-16,4 cm,1133 cm,0 m
23-Dec-16,9 cm,1142 cm,0 m
24-Dec-16,3 cm,1145 cm,0 m
26-Dec-16,1 cm,1146 cm,1.68 m
27-Dec-16,23 cm,1169 cm,0 m
28-Dec-16,5 cm,1174 cm,0 m
29-Dec-16,13 cm,1187 cm,0 m
30-Dec-16,41 cm,1228 cm,0 m
